Name,1st Der M,Incl,RoA,Eccent,Arg of Peri,Mean Anom,Mean Motion
COSMOS 89,-6.1e-07,56.0563,150.6722,167886.0,309.1458,49.4626,12.38959466
COSMOS 90,-1.02e-06,56.0544,235.339,160571.0,98.5854,333.6468,12.34565803
OV1-2,1.297e-05,144.2308,26.2691,1223572.0,207.6598,145.3256,12.7936747
OV2-1,9.9e-07,32.2961,172.9725,19322.0,228.2198,131.6796,14.53265406
EXPLORER 29 (GEOS 1),-4.1e-07,59.383,357.3735,719833.0,53.8678,110.5081,11.97052615
EXPLORER 30,-1.08e-06,59.7066,245.0215,141294.0,90.6384,271.0845,14.40250883
A-1 (ASTERIX),7.5e-07,34.2549,82.4363,750856.0,73.0094,295.1412,13.46995502
ALOUETTE 2,1.29e-06,79.7961,95.2219,1343845.0,130.4238,242.2136,12.25478034
EXPLORER 31 (ISIS-X),-2.94e-06,79.816,116.3658,1434192.0,266.0266,77.6198,12.05699733
FR 1,1.67e-06,75.8697,27.1133,5532.0,136.7505,223.411,14.66717766
OPS 1509 (TRANSIT 10),6.2e-07,89.0664,63.0962,109033.0,236.1089,122.9669,13.78257878
OPS 1593 (TRANSIT 11),6.6e-07,90.2067,317.5689,217576.0,305.4648,52.6376,13.67244073
